Fascia,Cognome e Nome,Genere,Ateneo,Facoltà,S.S.D.,S.C.,Struttura di afferenza,year,area
Ricercatore,MARTINO Pamela,F,BARI,Giurisprudenza II,IUS/21,12/E2,"JONICO IN ""SISTEMI GIURIDICI ED ECONOMICI DEL MEDITERRANEO: SOCIETA', AMBIENTE, CULTURE""",2011,12 - Scienze giuridiche
Ordinario,MARTINO Roberto,M,"LUM ""Giuseppe Degennaro""",Giurisprudenza,IUS/15,12/F1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Ricercatore a t.d. (art.1 comma 14 L. 230/05),MARTIRE Giovanna,F,"ROMA ""Tor Vergata""",,IUS/07,,GIURISPRUDENZA,2011,12 - Scienze giuridiche
Ricercatore non confermato,MARTIS Marcella,F,CAGLIARI,Giurisprudenza,IUS/12,12/D2,DIRITTO PUBBLICO E DI STUDI SOCIALI,2011,12 - Scienze giuridiche
Ordinario,MARTONE Luciano,M,"""L'Orientale"" di NAPOLI",Scienze Politiche,IUS/19,12/H2,SCIENZE UMANE E SOCIALI,2011,12 - Scienze giuridiche
Ordinario,MARTONE Michel,M,TERAMO,Giurisprudenza,IUS/07,12/B2,Non disponibile,2011,12 - Scienze giuridiche
Associato confermato,MARTORANO Francesco Saverio,M,Napoli Federico II,Economia,IUS/04,12/B1,DIRITTO DELL'ECONOMIA,2011,12 - Scienze giuridiche
Ordinario,MARTUCCELLI Silvio,M,PARMA,Giurisprudenza,IUS/01,12/A1,GIURISPRUDENZA,2011,12 - Scienze giuridiche
Ricercatore,MARTUCCI Laura Sabrina,F,BARI,Giurisprudenza,IUS/11,12/C2,"GIURIDICO DELLE ISTITUZIONI, AMMINISTRAZIONE E LIBERTA'",2011,12 - Scienze giuridiche
Associato confermato,MARUCCI Barbara,F,MACERATA,Scienze della Formazione,IUS/01,12/A1,DIRITTO PRIVATO E DEL LAVORO ITALIANO E COMPARATO,2011,12 - Scienze giuridiche
Ricercatore,MARUFFI Rita,F,MILANO-BICOCCA,Giurisprudenza,IUS/15,12/F1,GIURIDICO DELLE ISTITUZIONI NAZIONALI ED EUROPEE,2011,12 - Scienze giuridiche
Ordinario,MARZADURI Enrico,M,PISA,Giurisprudenza,IUS/16,12/G2,DIRITTO PUBBLICO,2011,12 - Scienze giuridiche
Ordinario,MARZANATI Anna,F,MILANO-BICOCCA,Economia,IUS/09,12/D1,DIRITTO PER L'ECONOMIA,2011,12 - Scienze giuridiche
Ordinario,MARZARO Patrizia,F,PADOVA,Giurisprudenza,IUS/10,12/D1,"DIRITTO PUBBLICO, INTERNAZIONALE E COMUNITARIO",2011,12 - Scienze giuridiche
Ricercatore,MARZO Giovanna,F,TORINO,Giurisprudenza,IUS/01,12/A1,GIURISPRUDENZA,2011,12 - Scienze giuridiche
Ricercatore,MARZOCCHI Paola,F,BOLOGNA,Economia (Sede di Forlì),IUS/15,12/F1,DISCIPLINE GIURIDICHE DELL'ECONOMIA E DELL'AZIENDA,2011,12 - Scienze giuridiche
Ricercatore,MARZOCCO Antonio Maria,M,"CAMPANIA - ""L. VANVITELLI""",Giurisprudenza,IUS/15,12/F1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Ricercatore,MARZOCCO Valeria,F,Napoli Federico II,Giurisprudenza,IUS/20,12/H3,DIRITTO ROMANO E STORIA DELLA SCIENZA ROMANISTICA,2011,12 - Scienze giuridiche
Ordinario,MARZONA Nicoletta,F,Cattolica del Sacro Cuore,Scienze Politiche,IUS/09,12/D1,SCIENZE GIURIDICHE,2011,12 - Scienze giuridiche
Ordinario,MARZUOLI Carlo,M,FIRENZE,Giurisprudenza,IUS/10,12/D1,DIRITTO PUBBLICO,2011,12 - Scienze giuridiche
